City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,stephenville,32.2207,-98.2023,69.12,43,0,12.55,US,1713816180
85,alesund,62.4723,6.1549,38.44,89,100,11.81,NO,1713816181
86,minas de marcona,-15.2119,-75.1103,68.81,66,25,18.05,PE,1713816181
87,hermanus,-34.4187,19.2345,62.28,86,100,3.24,ZA,1713816181
88,whitehorse,60.7161,-135.0538,44.58,55,89,4.43,CA,1713816181
89,mar del plata,-38.0023,-57.5575,58.08,68,92,17.81,AR,1713815999
90,nadym,65.5333,72.5167,12.36,91,100,21.41,RU,1713816182
91,iqaluit,63.7506,-68.5145,15.67,83,12,10.6,CA,1713816182
92,bardai,11.65,7.2333,91.06,28,74,7.45,NG,1713816182
93,felege neway,6.3,36.8833,67.66,80,60,2.48,ET,1713816182
94,geraldton,-28.7667,114.6,63.79,59,100,20.94,AU,1713816182
95,malango,-2.9627,119.9001,68.54,99,100,2.08,ID,1713816183
96,bhimbar,32.9757,74.0793,73.85,37,18,4.68,PK,1713816183
97,walvis bay,-22.9575,14.5053,67.51,64,0,15.37,NA,1713816183
98,anshun,26.25,105.9333,56.93,88,100,9.8,CN,1713816183
99,jayapura,-2.5333,140.7,71.01,92,100,4.72,ID,1713816183
100,kamina,-8.7386,24.9906,67.33,88,16,2.39,CD,1713816183
101,kavieng,-2.5744,150.7967,82.6,76,18,6.11,PG,1713816184
102,cova figueira,14.8905,-24.2934,62.22,77,90,12.46,CV,1713816184
103,yulinshi,38.2906,109.7494,46.45,40,0,7.34,CN,1713816184
104,santiago de cuba,20.0247,-75.8219,87.42,52,22,7.76,CU,1713816184
105,mikun',62.3547,50.0771,26.92,83,100,10.67,RU,1713816184
106,vila franca do campo,37.7167,-25.4333,62.76,85,100,5.79,PT,1713816185
107,hamilton,39.1834,-84.5333,60.82,32,1,6.26,US,1713816185
108,uturoa,-16.7333,-151.4333,82.63,75,59,7.9,PF,1713816185
109,diu,20.7141,70.9822,78.17,65,0,12.75,IN,1713816185
110,sakiai,54.9547,23.0358,31.68,98,100,15.14,LT,1713816185
111,port saint john's,-31.6229,29.5448,72.91,91,67,6.76,ZA,1713816185
112,bayanhongor,46.7167,100.1167,29.01,44,19,2.48,MN,1713816186
113,mufumbwe,-13.6833,24.8,66.29,51,6,4.68,ZM,1713816186
114,kimbe,-5.5502,150.1429,76.12,92,79,2.95,PG,1713816186
115,klyuchi,52.2667,79.1667,47.61,47,1,7.87,RU,1713816186
116,sanaa,15.3547,44.2067,69.87,47,96,7.11,YE,1713816187
117,palmer,42.1584,-72.3287,54.05,25,0,7.43,US,1713816187
118,colonia,50.9333,6.95,41.02,82,99,4.09,DE,1713816187
119,lompoc,34.6391,-120.4579,63.16,72,7,7.18,US,1713815899
120,bikenibeu village,1.3673,173.1241,83.89,78,39,13.22,KI,1713816187
121,dudinka,69.4058,86.1778,-6.63,98,82,7.52,RU,1713816187
122,sitka,57.0531,-135.33,47.97,62,100,2.15,US,1713816188
123,kish,26.5578,54.0194,79.09,65,39,12.35,IR,1713816188
124,atafu village,-8.5421,-172.5159,84.54,73,9,7.31,TK,1713816188
125,aasiaat,68.7098,-52.8699,33.13,90,100,6.42,GL,1713816188
126,enewetak,11.3474,162.3373,82.06,76,100,16.96,MH,1713816188
127,bagua grande,-5.7561,-78.4411,89.8,55,65,3.4,PE,1713816189
128,laojunmiao,39.8333,97.7333,45.45,18,2,6.85,CN,1713816189
129,amahai,-3.3333,128.9167,78.82,89,100,4.56,ID,1713816189
130,isafjordur,66.0755,-23.124,39.22,75,14,2.24,IS,1713816189
131,al hasakah,36.5024,40.7477,67.98,36,0,11.03,SY,1713816189
132,palikir - national government center,6.9248,158.1611,82.26,80,63,19.1,FM,1713816190
133,east london,-33.0153,27.9116,66.61,83,94,9.31,ZA,1713816190
134,saint-pierre,-21.3393,55.4781,77.56,86,4,3.71,RE,1713816190
135,tisaiyanvilai,8.3333,77.8833,84.76,73,100,3.36,IN,1713816190
136,casper,42.8666,-106.3131,61.48,24,4,8.77,US,1713815934
137,dishna,26.1247,32.476,81.72,15,54,6.13,EG,1713816190
138,tanout,14.9709,8.8879,91.45,27,100,8.01,NE,1713816191
139,nahiyat ash shinafiyah,31.5874,44.6602,81.18,17,0,12.39,IQ,1713816191
140,sao joao da barra,-21.6403,-41.0511,75.74,79,0,11.56,BR,1713816191
141,bamako,12.65,-8.0,96.19,22,48,6.98,ML,1713816005
142,blackmans bay,-43.0167,147.3167,49.26,87,100,5.53,AU,1713816191
143,bel ombre,-4.6167,55.4167,84.47,74,100,9.31,SC,1713816191
144,valley center,33.2184,-117.0342,71.65,52,68,8.14,US,1713816192
145,port elizabeth,-33.918,25.5701,61.93,90,42,4.12,ZA,1713816192
146,lerwick,60.1545,-1.1494,42.66,70,49,18.88,GB,1713816192
147,trashi yangtse,27.6116,91.498,57.88,95,100,0.76,BT,1713816192
148,port blair,11.6667,92.75,81.93,81,64,8.01,IN,1713816192
149,egilsstadir,65.2653,-14.3948,48.06,45,10,3.91,IS,1713816193
150,el calafate,-50.3408,-72.2768,42.55,66,4,5.19,AR,1713816193
151,fuerte olimpo,-21.0415,-57.8738,89.24,54,51,7.16,PY,1713816193
152,georgetown,5.4112,100.3354,82.9,78,94,1.7,MY,1713816054
153,nova vicosa,-17.8919,-39.3719,79.83,78,15,6.91,BR,1713816193
154,lihue,21.9789,-159.3672,73.18,61,28,14.52,US,1713816193
155,zalari,53.5584,102.5065,33.26,71,100,13.44,RU,1713816194
156,dunedin,-45.8742,170.5036,46.06,57,66,5.46,NZ,1713816018
157,antonio enes,-16.2325,39.9086,77.61,74,3,7.09,MZ,1713816194
158,aldinga beach,-35.2793,138.4604,61.93,52,100,11.27,AU,1713815970
159,zhanibek,49.4167,46.85,62.2,68,100,8.39,KZ,1713816194
160,victoria falls,-17.9235,25.843,67.44,40,0,2.84,ZW,1713816194
161,olonkinbyen,70.9221,-8.7187,26.01,66,0,13.18,SJ,1713816195
162,kalmunai,7.4167,81.8167,81.41,84,89,3.85,LK,1713816195
163,invercargill,-46.4,168.35,45.25,62,100,5.37,NZ,1713816195
164,ancud,-41.8697,-73.8203,50.9,78,100,7.76,CL,1713816195
165,toliara,-23.35,43.6667,71.4,71,0,9.22,MG,1713816195
166,kutum,14.2,24.6667,81.52,12,19,8.81,SD,1713816196
167,labasa,-16.4167,179.3833,80.94,87,81,0.89,FJ,1713816196
168,shubarshi,48.5872,57.1869,63.41,42,61,9.4,KZ,1713816196
169,borodianka,50.6448,29.9201,44.98,75,100,3.22,UA,1713816196
170,tual,-5.6667,132.75,83.73,78,100,4.47,ID,1713816196
171,antsiranana,-12.2787,49.2917,78.64,85,48,12.24,MG,1713816196
172,vilyuysk,63.7553,121.6247,28.83,99,100,1.79,RU,1713816197
173,ingeniero jacobacci,-41.3427,-69.5448,47.01,65,100,19.6,AR,1713816197
174,tromso,69.6496,18.957,19.0,79,20,9.44,NO,1713816197
175,nurlat,54.4277,50.8051,64.42,60,96,8.1,RU,1713816197
176,kasane,-17.8167,25.15,66.51,39,0,6.42,BW,1713816197
177,shetpe,44.1667,52.1167,68.02,47,69,7.52,KZ,1713816198
178,kiffa,16.6166,-11.4045,93.69,12,6,9.33,MR,1713816198
179,gaigeturi,33.4644,126.3183,59.7,85,94,19.33,KR,1713816198
180,general roca,-39.0333,-67.5833,58.98,60,88,13.38,AR,1713816198
181,dwarka,22.2394,68.9678,79.02,79,0,13.42,IN,1713816198
182,lajere,11.9797,11.4443,92.23,13,100,4.65,NG,1713816199
183,arraial do cabo,-22.9661,-42.0278,75.81,81,0,12.37,BR,1713816199
184,cabo san lucas,22.8909,-109.9124,78.57,52,0,11.79,MX,1713816178
185,turpan,42.9333,89.1667,71.87,15,0,2.73,CN,1713816199
186,malanje,-9.5402,16.341,67.95,86,100,1.77,AO,1713816200
187,thinadhoo,0.5333,72.9333,83.93,80,100,10.11,MV,1713816200
188,namibe,-15.1961,12.1522,76.6,75,21,4.07,AO,1713816200
189,changyon,38.2508,125.0961,57.9,67,100,4.81,KP,1713816200
190,mugia,43.1041,-9.2179,55.62,54,0,25.23,ES,1713816200
191,aykhal,66.0,111.5,22.01,96,100,6.8,RU,1713816201
192,iskateley,67.6803,53.1512,-0.26,100,64,5.86,RU,1713816201
193,wangdue phodrang,27.4862,89.8991,59.61,93,100,0.34,BT,1713816201
194,charleston,32.7766,-79.9309,65.93,39,93,12.95,US,1713815978
195,luang namtha,20.9497,101.4011,73.71,44,19,1.7,LA,1713816202
196,bamyan,34.75,67.25,35.51,74,64,3.98,AF,1713816202
197,segezha,63.7415,34.3222,33.82,97,100,14.43,RU,1713816202
198,broken hill,-31.95,141.4333,60.1,45,20,8.01,AU,1713816167
199,avarua,-21.2078,-159.775,78.28,68,65,12.68,CK,1713816203
200,portland,45.5234,-122.6762,61.48,36,37,5.73,US,1713815922
201,punta arenas,-53.15,-70.9167,45.3,79,100,14.0,CL,1713816203
202,tarawa,1.419,172.984,84.02,78,28,12.86,KI,1713816203
203,guanica,17.9716,-66.908,84.16,62,11,11.63,PR,1713816203
204,sukhobezvodnoye,57.0491,44.8891,55.72,96,100,4.85,RU,1713816204
205,kudahuvadhoo,2.6708,72.8944,84.81,77,100,11.95,MV,1713816204
206,urzhar,47.093,81.6294,58.62,63,0,12.26,KZ,1713816204
207,as samawah,31.332,45.2944,82.38,18,0,16.26,IQ,1713816204
208,tarnogskiy gorodok,60.4997,43.5761,50.29,84,100,11.97,RU,1713816204
209,bonthe,7.5264,-12.505,81.41,83,95,8.84,SL,1713816204
